,SDGs 01,SDGs 02,SDGs 03,SDGs 04,SDGs 05,SDGs 06,SDGs 07,SDGs 08,SDGs 09,SDGs 10,SDGs 11,SDGs 12,SDGs 13,SDGs 14,SDGs 15,SDGs 16,SDGs 17
,aboriginal, organic farming,2019-ncov, infrastructure,#metoo, Activated Carbon,*microbiology*, income convergence, broadband access,access to health care, flood risk management, food* waste* prevent*, Effect of climate change, International Tribunal for the Law of the Sea, conservation ecosystem,6th amendment,*negotiate*
,access,a. flavus,abortion access, stroke patients,abortion, restoration of aquifer,*transportation*, land productivity, broadband wireless access,access to healthcare, flooding risk management, high-level radioactive waste, Effect of global warming, locally* managed* marine* area*, desertification,abuse against women,2030 Agenda
,access ,Access,abortion attitudes,aboriginal,abortion policies, restoration of lake,2000-watt society, regional income,3D manufacturing,affirmative action, urban disaster, highlevel radioactive waste, Effects of climate change,a. catenella, pet trade,abuse and neglect,abroad
,access to credit,access,abortion care,aboriginal learners,abortion policy, restoration of river,2000watt society, regional income disparities,3d*-print*,affordable home, waste incinerator, triple-bottom-line, Effects of global warming,a. minutum, reducing emissions from deforestation,abuse during pregnancy,accelerat*
,access to food,access market,abortion counseling,academic specialization,Abortion* reform*, restoration of wetland,a-Si:H, regional income disparity,3G access,affordable homes, world heritage, triplebottomline, food availability,a. tamarense,access,abuse in childhood,accept
,access to land,access markets,abortion debate,academic success,abortion* right*, sanitation,access, regional income inequality,3G coverage,affordable house, world heritage areas,Accoya wood,acidification,abalone,Accipiter striatus venator,abuse in nursing homes,accepted
,access to market,Access to,abortion law,academic* achievement*,abuse, tertiary care,access to electricity, self-employed,4D printing,affordable houses,*storm* prediction*,Accoya? wood,adapt to climate change,abalone*,Accounting,abuse in pregnancy,accepting
,access to ownership,access to agricultural information,abortion laws,academic* institution*,abuse woman, Tube well,acoustic, self-employment,4G access,affordable housing,19th century paintings,agricultural sustainability,adaptation,access to infrastructure,Achatinella spp.,abuse of children,access
,access to water,access to assets,abortion legalisation,academic* performance*,abuse women, wastewaters,active distribution network, selfemployed,4G coverage,affordable rental,access,agricultural waste,agricultural,access to resources,Acinonyx jubatus,abuse of discretion,access to
,access*,access to capital,abortion legalization,access,abuse*,*dental*,active distribution system, selfemployment,5-axis CNC,affordable rentals,access to housing,airline,agricultural carbon dioxide emission,access* control*,Acipenser brevirostrum,abuse of elderly,access to market
,access* to* financ*,Access to capitals,abortion legislation,access to changing technology,abused wife,*dentist*,ADITYA Tokamak, soil productivity,5-axis machine,Afghanistan,accessibility,alternative tourism,agricultural carbon dioxide emissions,access* to* fish*,Acipenser mikadoi,abuse of minors,access to markets
,access* to* new* technolog*,access to credit,abortion legislations,access to education,abused woman,*pool water*,advanced manufacturing,(TFP),5-axis machines,Africa,acropolis sculptures,anaerobic,agricultural CO 2 emission,acid*,Acipenser naccarii,abuse of the elderly,access*
,access* to* sanitation* facilit*,Access to electricity,abortion policies,access to higher education,abused women,*swimming pool*,advanced meter infrastructure*,*capita*,5-axis machining,African contries,adaptive lighting,architecture,agricultural CO 2 emissions,acid-base,Acipenser sinensis,abuse of women,accountability
,adaptation*,access to energy,abortion policy,access to internet,abusive* partner*,*waste*water*,advanced meter*,*econ*,5-axis NC,African country,adaptive traffic,automotive waste,agricultural CO2 emission,acidbase,Acipenser transmontanus,abuse survivor,achiev*
,adaptative* capacit*,access to farming,abortion politics,access to school,abusive* relationship*,access,advanced process,*econom*,5G access,African nation,adequate housing,avoid* food* waste*,agricultural CO2 emissions,acidif*,Acrocephalus familiaris kingi,abuse survivors,achievement*
,adequate social welfare,Access to farming technology,abortion provider,access to university,access,accessible drinkable water,advanced* energy* efficien*,*economic*,5G coverage,African nations,affected by urbanization,aware of climate change,agricultural GHG emission,acidification,Acrocephalus luscinia,abused adolescent,acknowledg*
,afdc,access to finance,abortion providers,access university education,access to condoms,accessible drinking tap water,advanced* energy* saving*,*economic* polic*,academic patenting,age discrimination,affordability housing,aware of sustainable development,agricultural GHG emissions,acidification of seawater,Adelocosa anops,abused adolescents,action plan*
,Africa,access to financial services,abortion provision,access*,Access to higher education,accessible drinking water,advanced* technolog*,*industr*,access,agricultur* trad*,affordable housing,awareness of sustainable development,agricultural green gas emission,Acipenser brevirostrum,aeolian desertification,abused child,activit*
,african,access to formal credit,abortion regulation,access* to* technology* material*,access university education ,accessible potable tap water,afex,169,Access and use of information,aid agencies,affordable rental housing,bacteria,agricultural green gas emissions,Acipenser mikadoi,Aepyceros melampus petersi,abused children,address*
,against poverty,access to genetic resources,abortion regulations,accredited education,access* to* contracepti*,accessible potable water,affordable,absence of credit markets,access to 3G,aid agency,affordable urban housing,bamboo-reinforced,agricultural green house gas emission,Acipenser naccarii,afforest*,abused elder,adopt*
,agricultural finance,access to information,abortion restriction,achievement,accessibility,activated sludge,affordable electricity,accelerating technological change,access to 4G,aid allocation,ageing,bambooreinforced,agricultural green house gas emissions,Acipenser oxyrinchus oxyrinchus,afforestation,abused elders,adoption
,Aid to Families with Dependent Children,access to input,abortion restrictions,acquisition of alphabetic writing,advancement of women,adequate sanitation,affordable energy,access,access to 5G,aid allocations,agric*,basel convention,agricultural greenhouse gas emission,Acipenser sinensis,afforestation and reforestation,abused mother,advantag*
,aid* to* famil*,access to inputs,abortion rights,active learning,Aggression*,advanced irrigation,aggregator*,access to credit,access to advanced information,aid distribution,aid,battery recycling,agricultural greenhouse gas emissions,Acipenser sturio,afforestation of agricultural,abused mothers,AFCFTA
,alcohol*,access to knowledge,abortion service,adequacy,aggression*,advanced oxidation process,agro-energy,access to finance,Access to and use of internet,aid flow,air concentration,bio-medical waste,agricultural greenhousegas emission,Acipenser transmontanus,afforestation of agriculture,abused woman,Afghanistan
,alleviate poverty,access to land,abortion services,adequate* resource*,agrarian feminism,aerobic,agro-fuel*,access to financing,Access to and use of mobile,aid flows,air pollution,biomedical waste,agricultural greenhousegas emissions,acipenser*,afforestation policy,abused women,Africa
,alleviating poverty,access to land and resources,abuse of alcohol,ADHD,AIDS education,affordable drinkable water,agroenergy,access to formal credit,Access to and use of the cellular,aid for development,air quality,bird*,agriculture,Acrophoca longirostris,afforestation* of* agric*,abusive behavior,against
